iter	RMSE
0	0.6095437483
1	0.5935322228
2	0.5774970903
3	0.5641805507
4	0.5495532963
5	0.5356244405
6	0.5218228808
7	0.5090081056
8	0.4972068012
9	0.4854182135
10	0.4741481948
11	0.4631138831
12	0.4529745586
13	0.4433910446
14	0.4342863943
15	0.4249679892
16	0.4166766699
17	0.4085751691
18	0.4000255705
19	0.3923885751
20	0.3853337532
21	0.3786148904
22	0.3717890258
23	0.3658204659
24	0.3597546766
25	0.3537094363
26	0.3480606461
27	0.3422047018
28	0.3373358486
29	0.3325071109
30	0.3283982821
31	0.3234000711
32	0.3191154705
33	0.3145228435
34	0.3116467382
35	0.3076977771
36	0.3040433585
37	0.3006350529
38	0.2975187327
39	0.2939543061
40	0.2907496486
41	0.2875698844
42	0.2844426713
43	0.2816092816
44	0.2788943623
45	0.2764680823
46	0.2740450889
47	0.2717169035
48	0.2696337613
49	0.2674064978
50	0.2651685998
51	0.2631554724
52	0.261714205
53	0.2601775831
54	0.2581164273
55	0.255832332
56	0.2541282065
57	0.2523358999
58	0.250696613
59	0.2492893071
60	0.2479935058
61	0.2468443226
62	0.2453838532
63	0.244017397
64	0.2424933133
65	0.2412463391
66	0.2400504945
67	0.2389071836
68	0.2378766304
69	0.2368881569
70	0.235826025
71	0.2346266842
72	0.233752065
73	0.2328620063
74	0.2319146758
75	0.2310462915
76	0.2303717095
77	0.2295864999
78	0.2286817178
79	0.2279976969
80	0.227409941
81	0.2264939325
82	0.2257588069
83	0.2251538434
84	0.2245691797
85	0.2240287268
86	0.2232441585
87	0.2226363528
88	0.2217781722
89	0.2211704135
90	0.2204109538
91	0.2200399101
92	0.2193433187
93	0.2188165144
94	0.2182128152
95	0.2174532922
96	0.2169839693
97	0.2165921673
98	0.2161228047
99	0.2157088715
100	0.2152190773
101	0.2148401626
102	0.2145024394
103	0.2141370408
104	0.2134882487
105	0.2132021829
106	0.2126735578
107	0.2123837926
108	0.211961953
109	0.2113108092
110	0.2109238941
111	0.2101952295
112	0.2098398173
113	0.2093485549
114	0.2088140807
115	0.2082398198
116	0.2079207745
117	0.2075857244
118	0.207367989
119	0.2071653153
120	0.2067984236
121	0.2064439174
122	0.2062444993
123	0.2058160395
124	0.2054604018
125	0.2052258717
126	0.2049313945
127	0.2044322058
128	0.2041982024
129	0.2039466385
130	0.2035400467
131	0.2031678839
132	0.2029606669
133	0.2025216398
134	0.2022365837
135	0.2019102825
136	0.2016666885
137	0.201221983
138	0.2009801834
139	0.2006158881
140	0.2003637093
141	0.2001592793
142	0.199764581
143	0.1995574182
144	0.1991926818
145	0.1989593683
146	0.1984932693
147	0.1980960061
148	0.1979472428
149	0.1974374937
150	0.1972587446
151	0.1970412515
152	0.1966647615
153	0.196392733
154	0.1962644702
155	0.1959198193
156	0.1955492069
157	0.1952985365
158	0.1949080021
159	0.1946369392
160	0.1940383036
161	0.1936518699
162	0.1931198918
163	0.192989679
164	0.1927325964
165	0.1924502932
166	0.1921987084
