iter	Passed	Remaining
0	0	971
1	1	909
2	2	923
3	3	945
4	4	972
5	5	943
6	6	923
7	7	903
8	8	904
9	10	995
10	10	982
11	11	963
12	12	943
13	13	928
14	14	925
15	15	955
16	16	955
17	17	946
18	18	945
19	19	939
20	20	939
21	21	950
22	22	952
23	23	959
24	24	953
25	25	951
26	26	951
27	27	949
28	28	940
29	28	931
30	29	927
31	30	918
32	31	911
33	32	912
34	32	902
35	33	900
36	34	895
37	35	888
38	35	885
39	36	881
40	37	881
41	38	884
42	39	880
43	40	876
44	41	874
45	42	871
46	43	872
47	43	871
48	45	875
49	45	872
50	46	869
51	47	865
52	48	863
53	49	862
54	51	888
55	52	888
56	53	885
57	54	883
58	55	882
59	56	881
60	57	883
61	58	891
62	59	888
63	60	888
64	61	887
65	62	886
66	63	883
67	64	880
68	65	879
69	66	881
70	67	883
71	68	881
72	69	879
73	69	875
74	71	876
75	75	923
76	80	961
77	81	964
78	84	985
79	85	988
80	86	985
81	87	984
82	90	999
83	91	1002
84	93	1001
85	94	1006
86	96	1014
87	97	1015
88	100	1024
89	101	1023
90	102	1025
91	103	1023
92	104	1019
93	105	1017
94	107	1020
95	108	1018
96	109	1016
97	110	1012
98	111	1010
99	111	1007
100	113	1007
101	114	1004
102	114	1001
103	116	1004
104	119	1022
105	121	1025
106	123	1031
107	124	1027
108	125	1024
109	126	1021
110	127	1018
111	128	1015
112	129	1013
113	129	1009
114	130	1006
115	131	1004
116	132	1000
117	133	999
118	134	997
119	135	994
120	136	990
121	137	988
122	138	984
123	138	981
124	140	980
125	140	977
126	141	974
127	142	972
128	143	970
129	144	967
130	145	965
131	146	962
132	147	959
133	147	955
134	148	953
135	149	951
136	150	949
137	151	946
138	152	943
139	153	943
140	154	942
141	155	941
142	156	939
143	158	941
144	159	939
145	160	937
146	161	936
147	162	934
148	163	932
149	164	930
150	164	927
151	165	925
152	166	924
153	167	922
154	168	919
155	169	917
156	170	915
157	171	914
158	172	913
159	173	911
160	174	909
161	175	906
162	176	905
163	177	904
164	178	902
165	179	900
166	180	898
167	180	896
168	181	893
169	182	892
170	183	890
171	184	888
172	185	887
173	186	885
174	187	883
175	188	881
176	189	879
177	190	878
178	190	875
179	191	873
180	192	870
181	193	868
182	194	866
183	195	864
184	195	862
185	196	859
186	197	857
187	197	854
188	199	855
189	200	853
190	201	852
191	201	850
192	202	848
193	203	845
194	204	842
195	205	843
196	206	841
197	207	839
198	208	837
199	208	834
200	209	832
201	210	830
202	210	827
203	211	825
204	212	824
205	213	822
206	213	819
207	214	817
208	215	814
209	215	812
210	216	810
211	217	809
212	218	807
213	219	806
214	220	803
215	220	801
216	221	799
217	223	800
218	224	798
219	224	797
220	225	795
221	226	793
222	227	791
223	228	790
224	229	789
225	229	787
226	230	786
227	231	784
228	232	782
229	233	780
230	233	778
231	234	776
232	235	774
233	235	772
234	236	771
235	237	769
236	238	768
237	239	766
238	240	764
239	240	762
240	241	761
241	242	760
242	243	759
243	244	757
244	245	756
245	246	754
246	247	753
247	247	751
248	248	750
249	249	748
250	250	747
251	251	745
252	251	743
253	252	741
254	253	740
255	254	739
256	255	737
257	255	735
258	256	733
259	257	731
260	257	729
261	258	727
262	259	726
263	260	724
264	260	723
265	261	721
266	262	719
267	262	718
268	263	716
269	265	716
270	265	715
271	266	713
272	267	712
273	268	710
274	268	708
275	269	706
276	270	704
277	270	703
278	271	701
279	272	700
280	273	698
281	273	697
282	274	696
283	275	694
284	276	693
285	278	694
286	279	693
287	280	692
288	280	690
289	281	689
290	282	687
291	282	685
292	283	683
293	284	682
294	285	681
295	285	679
296	286	678
297	287	676
298	287	674
299	288	673
300	289	671
301	290	671
302	291	669
303	292	668
304	292	667
305	293	665
306	294	663
307	294	662
308	295	661
309	296	660
310	297	659
311	298	657
312	298	656
313	299	654
314	300	653
315	300	651
316	301	650
317	302	649
318	303	647
319	304	646
320	305	645
321	305	643
322	306	642
323	307	640
324	307	639
325	308	638
326	309	636
327	310	635
328	311	634
329	311	633
330	312	631
331	313	630
332	313	628
333	314	627
334	315	626
335	316	625
336	317	623
337	317	622
338	318	620
339	319	619
340	319	618
341	321	618
342	322	617
343	322	615
344	323	614
345	324	612
346	324	611
347	325	609
348	326	609
349	327	608
350	328	607
351	329	606
352	330	605
353	331	604
354	332	603
355	332	602
356	333	601
357	334	599
358	335	598
359	336	597
360	336	596
361	337	594
362	339	595
363	339	593
364	340	592
365	341	591
366	342	589
367	342	588
368	343	587
369	344	586
370	345	585
371	346	584
372	346	583
373	347	581
374	348	580
375	348	579
376	349	577
377	350	576
378	351	575
379	352	574
380	352	573
381	353	571
382	354	570
383	354	569
384	355	567
385	356	566
386	357	565
387	358	564
388	358	563
389	359	562
390	360	560
391	360	559
392	361	558
393	362	557
394	363	556
395	363	554
396	364	553
397	365	552
398	365	551
399	366	549
400	367	548
401	367	547
402	368	546
403	370	546
404	371	545
405	371	544
406	372	542
407	373	541
408	374	541
409	375	539
410	375	538
411	377	539
412	378	537
413	379	536
414	379	535
415	380	534
416	382	534
417	383	533
418	383	532
419	384	530
420	385	529
421	385	528
422	386	527
423	387	526
424	388	525
425	389	524
426	390	523
427	391	522
428	392	521
429	393	520
430	393	519
431	394	518
432	395	517
433	396	516
434	396	515
435	397	514
436	398	513
437	399	512
438	400	512
439	402	511
440	402	510
441	403	509
442	404	508
443	405	507
444	406	506
445	407	505
446	407	504
447	408	503
448	409	502
449	410	501
450	410	500
451	411	499
452	412	498
453	413	496
454	414	496
455	415	495
456	416	494
457	417	493
458	418	492
459	418	491
460	419	490
461	420	489
462	421	488
463	421	487
464	422	486
465	423	485
466	424	484
467	425	483
468	426	482
469	427	481
470	427	480
471	428	479
472	429	478
473	430	477
474	431	476
475	431	475
476	432	474
477	433	473
478	434	472
479	434	471
480	435	469
481	436	468
482	436	467
483	437	466
484	438	465
485	439	464
486	440	463
487	440	462
488	441	461
489	442	460
490	443	459
491	444	458
492	444	457
493	445	456
494	446	455
495	447	454
496	447	453
497	448	452
498	449	451
499	450	450
500	451	449
501	452	448
502	452	447
503	453	446
504	454	445
505	455	444
506	456	443
507	457	442
508	458	441
509	458	440
510	459	439
511	460	438
512	461	437
513	461	436
514	463	436
515	463	435
516	464	434
517	465	433
518	466	431
519	466	430
520	467	430
521	468	428
522	469	427
523	469	426
524	470	426
525	471	424
526	472	423
527	473	422
528	473	421
529	474	420
530	475	419
531	476	418
532	476	417
533	477	416
534	478	415
535	479	414
536	479	413
537	480	412
538	481	411
539	482	410
540	482	409
541	483	408
542	484	407
543	484	406
544	485	405
545	486	404
546	487	403
547	487	402
548	488	401
549	489	400
550	490	399
551	490	398
552	491	397
553	492	396
554	493	395
555	493	394
556	494	393
557	495	392
558	496	391
559	497	390
560	497	389
561	498	388
562	499	387
563	500	386
564	500	385
565	501	384
566	502	384
567	503	383
568	504	382
569	505	381
570	505	380
571	506	379
572	507	377
573	507	376
574	509	376
575	509	375
576	510	374
577	511	373
578	511	372
579	512	371
580	513	370
581	514	369
582	515	369
583	516	368
584	517	367
585	518	366
586	518	365
587	519	363
588	520	362
589	520	361
590	521	360
591	522	360
592	523	359
593	523	358
594	524	357
595	525	356
596	525	354
597	526	353
598	527	353
599	528	352
600	529	351
601	529	350
602	530	349
603	531	348
604	531	347
605	532	346
606	533	345
607	533	344
608	534	343
609	535	342
610	536	341
611	536	340
612	537	339
613	538	338
614	538	337
615	539	336
616	540	335
617	541	334
618	541	333
619	542	332
620	543	331
621	543	330
622	544	329
623	545	328
624	546	327
625	547	326
626	547	325
627	548	324
628	549	324
629	550	323
630	550	322
631	551	321
632	552	320
633	553	319
634	553	318
635	554	317
636	555	316
637	555	315
638	556	314
639	558	313
640	558	312
641	559	312
642	560	311
643	561	310
644	561	309
645	562	308
646	563	307
647	563	306
648	564	305
649	565	304
650	566	303
651	567	302
652	567	301
653	568	300
654	569	299
655	569	298
656	570	297
657	571	297
658	572	296
659	572	295
660	573	294
661	574	293
662	574	292
663	575	291
664	576	290
665	577	289
666	578	288
667	579	288
668	580	287
669	581	286
670	581	285
671	582	284
672	583	283
673	584	282
674	584	281
675	585	280
676	586	279
677	586	278
678	587	277
679	588	277
680	589	276
681	590	275
682	591	274
683	592	273
684	592	272
685	593	271
686	594	270
687	595	270
688	596	269
689	597	268
690	598	267
691	599	266
692	600	265
693	601	264
694	602	264
695	602	263
696	603	262
697	604	261
698	605	260
699	605	259
700	606	258
701	607	257
702	609	257
703	609	256
704	610	255
705	611	254
706	611	253
707	612	252
708	613	251
709	614	250
710	614	249
711	615	248
712	616	248
713	616	247
714	617	246
715	618	245
716	619	244
717	619	243
718	620	242
719	621	241
720	621	240
721	622	239
722	623	238
723	623	237
724	624	236
725	625	236
726	626	235
727	627	234
728	628	233
729	628	232
730	629	231
731	630	230
732	631	229
733	632	229
734	633	228
735	633	227
736	634	226
737	635	225
738	636	224
739	637	223
740	638	223
741	638	222
742	639	221
743	640	220
744	641	219
745	641	218
746	642	217
747	644	217
748	644	216
749	645	215
750	646	214
751	647	213
752	647	212
753	648	211
754	649	210
755	650	209
756	651	209
757	652	208
758	653	207
759	653	206
760	654	205
761	655	204
762	656	203
763	657	203
764	658	202
765	658	201
766	659	200
767	660	199
768	661	198
769	661	197
770	662	196
771	664	196
772	664	195
773	665	194
774	666	193
775	666	192
776	667	191
777	668	190
778	668	189
779	669	188
780	670	188
781	671	187
782	671	186
783	672	185
784	673	184
785	674	183
786	675	182
787	676	181
788	677	181
789	677	180
790	678	179
791	679	178
792	679	177
793	680	176
794	681	175
795	682	174
796	683	174
797	684	173
798	684	172
799	685	171
800	686	170
801	687	169
802	688	168
803	688	167
804	689	167
805	690	166
806	691	165
807	692	164
808	693	163
809	694	162
810	695	161
811	695	161
812	696	160
813	697	159
814	698	158
815	698	157
816	699	156
817	700	155
818	701	155
819	702	154
820	703	153
821	704	152
822	704	151
823	706	150
824	707	150
825	708	149
826	708	148
827	709	147
828	710	146
829	711	145
830	712	144
831	713	144
832	713	143
833	714	142
834	715	141
835	716	140
836	717	139
837	718	138
838	718	137
839	719	137
840	720	136
841	721	135
842	722	134
843	723	133
844	724	132
845	725	132
846	726	131
847	726	130
848	727	129
849	728	128
850	729	127
851	730	126
852	731	126
853	732	125
854	733	124
855	734	123
856	735	122
857	736	121
858	737	121
859	738	120
860	739	119
861	740	118
862	741	117
863	742	116
864	743	115
